ID,CN_Key,CN_Code,Name
5527,321200000080,3212,Pigments (including metallic powders and flak
5530,321300000080,3213,"Artists', students' or signboard painters' co"
5533,321400000080,3214,"Glaziers' putty, grafting putty, resin cement"
5538,321500000080,3215,"Printing ink, writing or drawing ink and othe"
5546,330100000080,3301,"Essential oils (terpeneless or not), includin"
5581,330200000080,3302,Mixtures of odoriferous substances and mixtur
5597,330400000080,3304,Beauty or make-up preparations and preparatio
5604,330500000080,3305,Preparations for use on the hair
5609,330600000080,3306,"Preparations for oral or dental hygiene, incl"
5613,330700000080,3307,"Pre-shave, shaving or aftershave preparations"
5622,340100000080,3401,Soap; organic surface-active products and pre
5630,340200000080,3402,Organic surface-active agents (other than soa
5644,340300000080,3403,Lubricating preparations (including cutting-o
5654,340400000080,3404,Artificial waxes and prepared waxes
5657,340500000080,3405,"Polishes and creams, for footwear, furniture,"
5668,350100000080,3501,"Casein, caseinates and other casein derivativ"
5676,350200000080,3502,Albumins (including concentrates of two or mo
5700,350500000080,3505,Dextrins and other modified starches (for exa
5711,350600000080,3506,"Prepared glues and other prepared adhesives,"
5718,350700000080,3507,Enzymes; prepared enzymes not elsewhere speci
5733,360400000080,3604,"Fireworks, signalling flares, rain rockets, f"
5737,360600000080,3606,Ferro-cerium and other pyrophoric alloys in a
5743,370100000080,3701,"Photographic plates and film in the flat, sen"
5750,370200000080,3702,"Photographic film in rolls, sensitised, unexp"
5781,370300000080,3703,"Photographic paper, paperboard and textiles,"
5791,370600000080,3706,"Cinematographic film, exposed and developed,"
5800,370700000080,3707,Chemical preparations for photographic uses (
5808,380100000080,3801,Artificial graphite; colloidal or semi-colloi
5815,380200000080,3802,Activated carbon; activated natural mineral p
5822,380500000080,3805,"Gum, wood or sulphate turpentine and other te"
5830,380600000080,3806,"Rosin and resin acids, and derivatives thereo"
5838,380800000080,3808,"Insecticides, rodenticides, fungicides, herbi"
5881,380900000080,3809,"Finishing agents, dye carriers to accelerate"
5891,381000000080,3810,Pickling preparations for metal surfaces; flu
5896,381100000080,3811,"Anti-knock preparations, oxidation inhibitors"
5906,381200000080,3812,Prepared rubber accelerators; compound plasti
5920,381500000080,3815,"Reaction initiators, reaction accelerators an"
5941,382300000080,3823,Industrial monocarboxylic fatty acids; acid o
5951,382400000080,3824,Prepared binders for foundry moulds or cores;
6021,382500000080,3825,Residual products of the chemical or allied i
6041,390100000080,3901,"Polymers of ethylene, in primary forms"
6053,390200000080,3902,"Polymers of propylene or of other olefins, in"
6061,390300000080,3903,"Polymers of styrene, in primary forms"
6071,390400000080,3904,Polymers of vinyl chloride or of other haloge
6088,390500000080,3905,Polymers of vinyl acetate or of other vinyl e
6101,390600000080,3906,Acrylic polymers in primary forms
6111,390700000080,3907,"Polyacetals, other polyethers and epoxide res"
6135,390800000080,3908,Polyamides in primary forms
6138,390900000080,3909,"Amino-resins, phenolic resins and polyurethan"
6149,391100000080,3911,"Petroleum resins, coumarone-indene resins, po"
6159,391200000080,3912,"Cellulose and its chemical derivatives, not e"
6176,391300000080,3913,"Natural polymers (for example, alginic acid)"
6181,391500000080,3915,"Waste, parings and scrap, of plastics"
6188,391600000080,3916,Monofilament of which any cross-sectional dim
6195,391700000080,3917,"Tubes, pipes and hoses, and fittings therefor"
6216,391800000080,3918,"Floor coverings of plastics, whether or not s"
6221,391900000080,3919,"Self-adhesive plates, sheets, film, foil, tap"
6231,392000000080,3920,"Other plates, sheets, film, foil and strip, o"
6293,392100000080,3921,"Other plates, sheets, film, foil and strip, o"
6314,392200000080,3922,"Baths, shower-baths, sinks, washbasins, bidet"
6318,392300000080,3923,Articles for the conveyance or packing of goo
6337,392400000080,3924,"Tableware, kitchenware, other household artic"
6340,392500000080,3925,"Builders' ware of plastics, not elsewhere spe"
6348,392600000080,3926,Other articles of plastics and articles of ot
6359,400100000080,4001,"Natural rubber, balata, gutta-percha, guayule"
6366,400200000080,4002,Synthetic rubber and factice derived from oil
6394,400500000080,4005,"Compounded rubber, unvulcanised, in primary f"
6400,400600000080,4006,"Other forms (for example, rods, tubes and pro"
6404,400800000080,4008,"Plates, sheets, strip, rods and profile shape"
6413,400900000080,4009,"Tubes, pipes and hoses, of vulcanised rubber"
6426,401000000080,4010,"Conveyor or transmission belts or belting, of"
6439,401100000080,4011,"New pneumatic tyres, of rubber"
6450,401200000080,4012,Retreaded or used pneumatic tyres of rubber;
6461,401300000080,4013,"Inner tubes, of rubber"
6465,401400000080,4014,Hygienic or pharmaceutical articles (includin
6468,401500000080,4015,Articles of apparel and clothing accessories
